page_id,name,urlslug,ID,ALIGN,EYE,HAIR,SEX,GSM,ALIVE,APPEARANCES,FIRST APPEARANCE,Year
177572,Alice Hayes (Earth-616),\/Alice_Hayes_(Earth-616),Secret Identity,Bad Characters,,,Female Characters,,Deceased Characters,32.0,Jul-03,2003.0
332730,Sasha Hammer (Earth-616),\/Sasha_Hammer_(Earth-616),Public Identity,Bad Characters,Brown Eyes,Black Hair,Female Characters,,Living Characters,32.0,Jul-08,2008.0
432264,June Covington (Earth-616),\/June_Covington_(Earth-616),Secret Identity,Bad Characters,Blue Eyes,Blond Hair,Female Characters,,Living Characters,32.0,Jan-11,2011.0
7316,Stellaris (Earth-616),\/Stellaris_(Earth-616),Secret Identity,Bad Characters,Blue Eyes,Brown Hair,Female Characters,,Living Characters,31.0,Jul-90,1990.0
1620,Fatale (Earth-616),\/Fatale_(Earth-616),Secret Identity,Bad Characters,Green Eyes,,Female Characters,,Living Characters,31.0,Apr-93,1993.0
2619,Angelina Brancale (Earth-616),\/Angelina_Brancale_(Earth-616),Secret Identity,Bad Characters,Blue Eyes,Blond Hair,Female Characters,,Living Characters,31.0,Jan-95,1995.0
1420,Delilah (Earth-616),\/Delilah_(Earth-616),Secret Identity,Bad Characters,Blue Eyes,Black Hair,Female Characters,,Living Characters,31.0,Aug-96,1996.0
2016,Helen Feliciano (Earth-616),\/Helen_Feliciano_(Earth-616),Secret Identity,Bad Characters,Brown Eyes,Blond Hair,Female Characters,,Deceased Characters,30.0,Aug-79,1979.0
20248,Andrea von Strucker (Earth-616),\/Andrea_von_Strucker_(Earth-616),Secret Identity,Bad Characters,Blue Eyes,Blond Hair,Female Characters,,Deceased Characters,30.0,Jun-85,1985.0
4608,Malice (Marauders) (Earth-616),\/Malice_(Marauders)_(Earth-616),Secret Identity,Bad Characters,,,Female Characters,,Living Characters,30.0,Oct-86,1986.0
177568,Stacey Yorkes (Earth-616),\/Stacey_Yorkes_(Earth-616),Public Identity,Bad Characters,Green Eyes,Brown Hair,Female Characters,,Deceased Characters,30.0,Jul-03,2003.0
15950,Vixen (British Crimelord) (Earth-616),\/Vixen_(British_Crimelord)_(Earth-616),Secret Identity,Bad Characters,Magenta Eyes,Magenta Hair,Female Characters,,Living Characters,29.0,Sep-83,1983.0
5683,Siena Blaze (Earth-616),\/Siena_Blaze_(Earth-616),Public Identity,Bad Characters,Brown Eyes,Blond Hair,Female Characters,,Deceased Characters,29.0,Jan-93,1993.0
2126,Martinique Wyngarde (Earth-616),\/Martinique_Wyngarde_(Earth-616),Secret Identity,Bad Characters,Blue Eyes,Brown Hair,Female Characters,,Living Characters,29.0,,
129966,Gudrun Tyburn (Earth-616),\/Gudrun_Tyburn_(Earth-616),Public Identity,Bad Characters,Brown Eyes,White Hair,Female Characters,,Living Characters,28.0,Jun-92,1992.0
2282,Marian Pouncy (Earth-616),\/Marian_Pouncy_(Earth-616),Public Identity,Bad Characters,Blue Eyes,Brown Hair,Female Characters,,Living Characters,27.0,Aug-79,1979.0
44006,Esme Cuckoo (Earth-616),\/Esme_Cuckoo_(Earth-616),Secret Identity,Bad Characters,Blue Eyes,Blond Hair,Female Characters,,Deceased Characters,27.0,Nov-01,2001.0
177564,Catherine Wilder (Earth-616),\/Catherine_Wilder_(Earth-616),Public Identity,Bad Characters,Brown Eyes,Black Hair,Female Characters,,Deceased Characters,27.0,Jul-03,2003.0
2068,Sunset Bain (Earth-616),\/Sunset_Bain_(Earth-616),Secret Identity,Bad Characters,Brown Eyes,Brown Hair,Female Characters,,Living Characters,26.0,Oct-80,1980.0
241281,Suwan (Earth-616),\/Suwan_(Earth-616),Secret Identity,Bad Characters,Brown Eyes,Black Hair,Female Characters,,Living Characters,25.0,Oct-56,1956.0
36717,Sheoke Sanada (Earth-616),\/Sheoke_Sanada_(Earth-616),Secret Identity,Bad Characters,Brown Eyes,Black Hair,Female Characters,,Living Characters,25.0,Jan-84,1984.0
22156,Adriana Soria (Earth-616),\/Adriana_Soria_(Earth-616),Secret Identity,Bad Characters,Brown Eyes,Black Hair,Female Characters,,Deceased Characters,25.0,Aug-04,2004.0
5587,Lorina Dodson (Earth-616),\/Lorina_Dodson_(Earth-616),Secret Identity,Bad Characters,Blue Eyes,Strawberry Blond Hair,Female Characters,,Living Characters,24.0,Jul-83,1983.0
19591,Rosalie Carbone (Earth-616),\/Rosalie_Carbone_(Earth-616),,Bad Characters,,,Female Characters,,Deceased Characters,24.0,Apr-92,1992.0
10128,Andrea Roarke (Earth-616),\/Andrea_Roarke_(Earth-616),Secret Identity,Bad Characters,Variable Eyes,Blond Hair,Female Characters,,Living Characters,24.0,Jul-96,1996.0
15599,Adrienne Frost (Earth-616),\/Adrienne_Frost_(Earth-616),Public Identity,Bad Characters,Green Eyes,Blond Hair,Female Characters,,Deceased Characters,24.0,Mar-99,1999.0
177576,Janet Stein (Earth-616),\/Janet_Stein_(Earth-616),Secret Identity,Bad Characters,Brown Eyes,Brown Hair,Female Characters,,Deceased Characters,24.0,Jul-03,2003.0
177584,Leslie Dean (Earth-616),\/Leslie_Dean_(Earth-616),Secret Identity,Bad Characters,Blue Eyes,Blond Hair,Female Characters,,Deceased Characters,24.0,Jul-03,2003.0
4562,Lani Ubanu (Earth-616),\/Lani_Ubanu_(Earth-616),Secret Identity,Bad Characters,White Eyes,Blond Hair,Female Characters,,Living Characters,23.0,Dec-69,1969.0
1394,Dansen Macabre (Earth-616),\/Dansen_Macabre_(Earth-616),Secret Identity,Bad Characters,Blue Eyes,Silver Hair,Female Characters,,Deceased Characters,23.0,May-80,1980.0
5978,Tai (Well of All Things) (Earth-616),\/Tai_(Well_of_All_Things)_(Earth-616),,Bad Characters,,Black Hair,Female Characters,,Living Characters,23.0,Dec-89,1989.0
28049,Carol Hines (Earth-616),\/Carol_Hines_(Earth-616),Secret Identity,Bad Characters,Blue Eyes,Auburn Hair,Female Characters,,Deceased Characters,23.0,Mar-91,1991.0
30888,Skreet (Earth-616),\/Skreet_(Earth-616),,Bad Characters,Pink Eyes,Black Hair,Female Characters,,Living Characters,23.0,Jan-95,1995.0
177580,Tina Minoru (Earth-616),\/Tina_Minoru_(Earth-616),Secret Identity,Bad Characters,,,Female Characters,,Deceased Characters,23.0,Jul-03,2003.0
1535,Zala Dane (Earth-616),\/Zala_Dane_(Earth-616),Secret Identity,Bad Characters,Blue Eyes,Black Hair,Female Characters,,Deceased Characters,22.0,Dec-70,1970.0
127001,Matriarch (UCT) (Earth-616),\/Matriarch_(UCT)_(Earth-616),Secret Identity,Bad Characters,,Brown Hair,Female Characters,,Living Characters,22.0,Feb-75,1975.0
1269,Calypso Ezili (Earth-616),\/Calypso_Ezili_(Earth-616),Public Identity,Bad Characters,Brown Eyes,Black Hair,Female Characters,,Deceased Characters,22.0,Oct-80,1980.0
16624,Lois London (Earth-616),\/Lois_London_(Earth-616),Public Identity,Bad Characters,Blue Eyes,Brown Hair,Female Characters,,Living Characters,22.0,Nov-82,1982.0
242664,Kathleen Dare (Earth-616),\/Kathleen_Dare_(Earth-616),,Bad Characters,Blue Eyes,Red Hair,Female Characters,,Deceased Characters,22.0,Aug-88,1988.0
52264,Lotus Newmark (Earth-616),\/Lotus_Newmark_(Earth-616),,Bad Characters,Green Eyes,Black Hair,Female Characters,,Living Characters,22.0,Mar-90,1990.0
9846,Veronica Dultry (Earth-616),\/Veronica_Dultry_(Earth-616),Secret Identity,Bad Characters,Yellow Eyes,Black Hair,Female Characters,,Living Characters,21.0,Aug-75,1975.0
1563,Cassandra Nova Xavier (Earth-616),\/Cassandra_Nova_Xavier_(Earth-616),Secret Identity,Bad Characters,Blue Eyes,No Hair,Female Characters,,Living Characters,21.0,Jul-01,2001.0
40711,Garm (Earth-616),\/Garm_(Earth-616),,Bad Characters,Yellow Eyes,Brown Hair,Female Characters,,Living Characters,20.0,Sep-76,1976.0
17315,Wendy Conrad (Earth-616),\/Wendy_Conrad_(Earth-616),,Bad Characters,Blue Eyes,Blond Hair,Female Characters,,Living Characters,20.0,Nov-83,1983.0
18104,Beatrix Keener (Earth-616),\/Beatrix_Keener_(Earth-616),Secret Identity,Bad Characters,,White Hair,Female Characters,,Living Characters,20.0,May-88,1988.0
2174,Olinka Barankova (Earth-616),\/Olinka_Barankova_(Earth-616),Secret Identity,Bad Characters,White Eyes,Brown Hair,Female Characters,,Living Characters,20.0,Sep-88,1988.0
2393,Denise Baranger (Earth-616),\/Denise_Baranger_(Earth-616),Secret Identity,Bad Characters,Violet Eyes,Black Hair,Female Characters,,Deceased Characters,19.0,Jan-78,1978.0
1484,Dreamqueen (Earth-616),\/Dreamqueen_(Earth-616),Secret Identity,Bad Characters,Yellow Eyes,Green Hair,Female Characters,,Living Characters,19.0,Mar-88,1988.0
4607,Nakia (Earth-616),\/Nakia_(Earth-616),Secret Identity,Bad Characters,Brown Eyes,Black Hair,Female Characters,,Living Characters,19.0,Nov-98,1998.0
307031,Aleksandra Nikolaevna (Earth-616),\/Aleksandra_Nikolaevna_(Earth-616),Secret Identity,Bad Characters,Blue Eyes,Black Hair,Female Characters,,Deceased Characters,19.0,Oct-08,2008.0
535764,Della Mason (Earth-616),\/Della_Mason_(Earth-616),No Dual Identity,Bad Characters,,Black Hair,Female Characters,,Living Characters,18.0,Aug-48,1948.0
2740,Plague (Earth-616),\/Plague_(Earth-616),Secret Identity,Bad Characters,,Brown Hair,Female Characters,,Deceased Characters,18.0,May-83,1983.0
18105,Teresa Vasquez (Earth-616),\/Teresa_Vasquez_(Earth-616),Secret Identity,Bad Characters,Brown Eyes,Black Hair,Female Characters,,Living Characters,18.0,Jan-88,1988.0
59847,Pilgrim (Earth-616),\/Pilgrim_(Earth-616),Secret Identity,Bad Characters,,Black Hair,Female Characters,,Deceased Characters,18.0,Aug-92,1992.0
26370,Nenora (Earth-616),\/Nenora_(Earth-616),Secret Identity,Bad Characters,,Black Hair,Female Characters,,Deceased Characters,17.0,Dec-87,1987.0
120814,Oonagh Mullarkey (Earth-616),\/Oonagh_Mullarkey_(Earth-616),,Bad Characters,,Black Hair,Female Characters,,Living Characters,17.0,Jun-92,1992.0
439427,Medea (Earth-616),\/Medea_(Earth-616),Secret Identity,Bad Characters,,Black Hair,Female Characters,,Living Characters,17.0,Oct-94,1994.0
16168,Semiramis (Earth-616),\/Semiramis_(Earth-616),Secret Identity,Bad Characters,Yellow Eyes,White Hair,Female Characters,,Living Characters,17.0,Jan-94,1994.0
17543,Isabella Carmela Magdalena Gnucci (Earth-616),\/Isabella_Carmela_Magdalena_Gnucci_(Earth-616),,Bad Characters,Blue Eyes,Black Hair,Female Characters,,Deceased Characters,17.0,Jul-00,2000.0
57136,Ero (Earth-616),\/Ero_(Earth-616),Secret Identity,Bad Characters,Hazel Eyes,Blond Hair,Female Characters,,Living Characters,17.0,Mar-06,2006.0
19636,Leper Queen (Earth-616),\/Leper_Queen_(Earth-616),Known to Authorities Identity,Bad Characters,Brown Eyes,Bald,Female Characters,,Deceased Characters,17.0,Jan-06,2006.0
18318,Minn-Erva (Earth-616),\/Minn-Erva_(Earth-616),Public Identity,Bad Characters,Blue Eyes,Black Hair,Female Characters,,Living Characters,16.0,May-77,1977.0
422510,Belladonna (Microverse) (Earth-616),\/Belladonna_(Microverse)_(Earth-616),,Bad Characters,,White Hair,Female Characters,,Deceased Characters,16.0,Mar-79,1979.0
32379,Melina Vostokoff (Earth-616),\/Melina_Vostokoff_(Earth-616),Secret Identity,Bad Characters,,,Female Characters,,Living Characters,16.0,Nov-83,1983.0
14613,Red Queen (Earth-616),\/Red_Queen_(Earth-616),,Bad Characters,,Red Hair,Female Characters,,Living Characters,16.0,Apr-84,1984.0
17997,Ariana Saddiqi (Earth-616),\/Ariana_Saddiqi_(Earth-616),Secret Identity,Bad Characters,White Eyes,Blond Hair,Female Characters,,Living Characters,16.0,Jan-88,1988.0
1989,Whiteout (Earth-616),\/Whiteout_(Earth-616),Secret Identity,Bad Characters,White Eyes,,Female Characters,,Living Characters,16.0,Oct-89,1989.0
15660,Alkhema (Earth-616),\/Alkhema_(Earth-616),No Dual Identity,Bad Characters,Variable Eyes,No Hair,Female Characters,,Living Characters,16.0,Jan-93,1993.0
13055,Xenith (Earth-616),\/Xenith_(Earth-616),Secret Identity,Bad Characters,Brown Eyes,Bald,Female Characters,,Living Characters,16.0,Dec-95,1995.0
342253,Br\u00fcn (Earth-616),\/Br%C3%BCn_(Earth-616),Secret Identity,Bad Characters,White Eyes,White Hair,Female Characters,,Living Characters,16.0,Aug-10,2010.0
237811,Haag (Asgardian) (Earth-616),\/Haag_(Asgardian)_(Earth-616),,Bad Characters,,,Female Characters,,Living Characters,15.0,Jun-69,1969.0
16600,Yi Yang (Earth-616),\/Yi_Yang_(Earth-616),,Bad Characters,Green Eyes,Black Hair,Female Characters,,Living Characters,15.0,Jun-79,1979.0
19328,Elaine Coll (Earth-616),\/Elaine_Coll_(Earth-616),,Bad Characters,Green Eyes,Red Hair,Female Characters,,Living Characters,15.0,Feb-95,1995.0
261322,Betty Swanson (Earth-616),\/Betty_Swanson_(Earth-616),Secret Identity,Bad Characters,Blue Eyes,Blond Hair,Female Characters,,Living Characters,15.0,Sep-09,2009.0
250446,Sylvie Lushton (Earth-616),\/Sylvie_Lushton_(Earth-616),Secret Identity,Bad Characters,Brown Eyes,Blond Hair,Female Characters,,Living Characters,15.0,Jul-09,2009.0
300685,Lady Stilt-Man (Earth-616),\/Lady_Stilt-Man_(Earth-616),Secret Identity,Bad Characters,,Red Hair,Female Characters,,Living Characters,15.0,Jan-10,2010.0
482120,Wilhelmina Kensington (Earth-616),\/Wilhelmina_Kensington_(Earth-616),Public Identity,Bad Characters,Blue Eyes,Blond Hair,Female Characters,,Living Characters,15.0,Sep-11,2011.0
640754,Proxima Midnight (Earth-616),\/Proxima_Midnight_(Earth-616),No Dual Identity,Bad Characters,White Eyes,Blue Hair,Female Characters,,Living Characters,15.0,,
16159,Marie Laveau (Earth-616),\/Marie_Laveau_(Earth-616),Secret Identity,Bad Characters,Blue Eyes,Black Hair,Female Characters,,Living Characters,14.0,Sep-73,1973.0
7313,Scarlet Fasinera (Earth-616),\/Scarlet_Fasinera_(Earth-616),Secret Identity,Bad Characters,Blue Eyes,Red Hair,Female Characters,,Living Characters,14.0,Dec-81,1981.0
2258,Eileen Harsaw (Earth-616),\/Eileen_Harsaw_(Earth-616),Secret Identity,Bad Characters,Blue Eyes,Blond Hair,Female Characters,,Living Characters,14.0,Jan-92,1992.0
36940,Sister Nil (Earth-616),\/Sister_Nil_(Earth-616),,Bad Characters,Black Eyes,Black Hair,Female Characters,,Living Characters,14.0,Dec-93,1993.0
594952,Yalu River Rosie (Earth-616),\/Yalu_River_Rosie_(Earth-616),Public Identity,Bad Characters,,Black Hair,Female Characters,,Living Characters,13.0,Nov-52,1952.0
35477,Fera (Earth-616),\/Fera_(Earth-616),Secret Identity,Bad Characters,Brown Eyes,Grey Hair,Female Characters,,Living Characters,13.0,May-74,1974.0
17175,Pearl Gross (Earth-616),\/Pearl_Gross_(Earth-616),Public Identity,Bad Characters,,Blond Hair,Female Characters,,Living Characters,13.0,May-85,1985.0
18379,Anita Ehren (Earth-616),\/Anita_Ehren_(Earth-616),Secret Identity,Bad Characters,,Red Hair,Female Characters,,Living Characters,13.0,Mar-86,1986.0
123230,Erica Fortune (Earth-616),\/Erica_Fortune_(Earth-616),,Bad Characters,Blue Eyes,Blond Hair,Female Characters,,Living Characters,13.0,Jan-88,1988.0
16925,Sapphire Styx (Earth-616),\/Sapphire_Styx_(Earth-616),,Bad Characters,Grey Eyes,Red Hair,Female Characters,,Living Characters,13.0,Sep-88,1988.0
288355,Linda Wei (Earth-616),\/Linda_Wei_(Earth-616),Public Identity,Bad Characters,Brown Eyes,Black Hair,Female Characters,,Deceased Characters,13.0,Sep-90,1990.0
13244,Min Li Ng (Earth-616),\/Min_Li_Ng_(Earth-616),Secret Identity,Bad Characters,Brown Eyes,Black Hair,Female Characters,,Living Characters,13.0,Jan-91,1991.0
9043,Nox (Nyx) (Earth-616),\/Nox_(Nyx)_(Earth-616),,Bad Characters,Black Eyes,Black Hair,Female Characters,,Living Characters,13.0,Jul-91,1991.0
6721,Charlotte Witter (Earth-616),\/Charlotte_Witter_(Earth-616),Secret Identity,Bad Characters,Green Eyes,Blond Hair,Female Characters,,Living Characters,13.0,May-99,1999.0
347148,G\u00f6ndul (Earth-616),\/G%C3%B6ndul_(Earth-616),,Bad Characters,,,Female Characters,,Living Characters,13.0,Sep-10,2010.0
451356,Parul Kurinji (Earth-616),\/Parul_Kurinji_(Earth-616),Secret Identity,Bad Characters,,Black Hair,Female Characters,,Living Characters,13.0,Nov-10,2010.0
407696,Ichisumi (Earth-616),\/Ichisumi_(Earth-616),Secret Identity,Bad Characters,Black Eyes,Black Hair,Female Characters,,Living Characters,13.0,Jan-11,2011.0
1905,Kala (Earth-616),\/Kala_(Earth-616),Secret Identity,Bad Characters,Blue Eyes,Black Hair,Female Characters,,Living Characters,12.0,Jul-63,1963.0
19597,Ruriko Tsumura (Earth-616),\/Ruriko_Tsumura_(Earth-616),Secret Identity,Bad Characters,Red Eyes,Pink Hair,Female Characters,,Living Characters,12.0,Dec-82,1982.0
396488,Lea C. Farr (Earth-616),\/Lea_C._Farr_(Earth-616),,Bad Characters,,,Female Characters,,Living Characters,12.0,Dec-87,1987.0
44345,Reiko (Earth-616),\/Reiko_(Earth-616),,Bad Characters,,Black Hair,Female Characters,,Living Characters,12.0,Sep-90,1990.0
685241,Jackie Shorr (Earth-616),\/Jackie_Shorr_(Earth-616),Public Identity,Bad Characters,Green Eyes,Blond Hair,Female Characters,,Living Characters,12.0,Feb-92,1992.0
318158,Lotus (Pride) (Earth-616),\/Lotus_(Pride)_(Earth-616),Secret Identity,Bad Characters,Black Eyes,Black Hair,Female Characters,,Living Characters,12.0,Sep-05,2005.0
153256,Claudine Renko (Earth-616),\/Claudine_Renko_(Earth-616),Secret Identity,Bad Characters,Red Eyes,Black Hair,Female Characters,,Living Characters,12.0,Sep-08,2008.0
640769,Supergiant (Earth-616),\/Supergiant_(Earth-616),No Dual Identity,Bad Characters,Yellow Eyes,No Hair,Female Characters,,Deceased Characters,12.0,,
2412,Elaine McLaughlin (Earth-616),\/Elaine_McLaughlin_(Earth-616),Secret Identity,Bad Characters,Green Eyes,Red Hair,Female Characters,,Deceased Characters,11.0,Jan-70,1970.0
